Region,Holiday_Promotion,Population,Income_Level,Bakery_Count,Demand,Year,Holiday_Season
Marmara,0,14563699,5215,2866,21920.942102938392,2014,1
Mediterranean,0,12769664,16904,1102,17307.157709933042,2022,1
Aegean,0,6890400,16112,2645,8097.649432131582,2019,0
Eastern Anatolia,0,4373042,9364,2374,4666.986950786505,2018,1
Central Anatolia,0,5959099,11764,3178,8023.29251905295,2016,1
Central Anatolia,1,12978307,3268,669,6159.091485533014,2023,0
Aegean,1,8717735,6367,4329,6950.5155980454665,2021,0
Aegean,1,1658082,17857,3977,9994.463379923585,2021,0
Aegean,1,5623497,17317,205,15312.447860821561,2016,1
Southeast Anatolia,1,10065219,3469,666,11083.399146318805,2016,1
Mediterranean,1,10991996,18352,4026,11825.729484335416,2021,0
Marmara,0,10483565,8985,1513,13861.143279926233,2017,0
Aegean,1,10507247,13407,475,9576.711624851383,2017,0
Eastern Anatolia,0,10372534,9215,118,5077.787332916757,2020,1
Southeast Anatolia,0,1677629,14923,4726,9120.735270818868,2022,1
Black Sea,0,6530936,13958,406,6249.876847485903,2021,0
Black Sea,1,9873653,8857,1608,9300.197879413,2016,1
Marmara,1,13650777,3434,3508,25596.54097566344,2020,1
Eastern Anatolia,0,7898765,22121,931,5162.425852248655,2022,1
Southeast Anatolia,0,14680278,4597,1224,8961.557924224517,2016,1
Eastern Anatolia,1,12313206,8694,4735,4827.680697461197,2016,1
Eastern Anatolia,0,10903929,5680,1982,4257.590875543559,2016,1
Aegean,0,2856362,4144,3633,11565.369173297446,2014,1
Marmara,1,4900764,23380,1780,25427.65074579668,2014,1
Central Anatolia,0,11591921,23892,1020,7954.9580830863615,2022,1
Central Anatolia,0,1069558,24519,161,4987.744348265998,2021,0
Marmara,0,12088901,4356,3765,12345.307250976875,2017,0
Eastern Anatolia,0,3277516,15272,1126,4450.377747788105,2017,0
Eastern Anatolia,0,7058250,12744,1441,4769.366659008935,2020,1
Mediterranean,0,8573320,19178,2943,16589.997140979434,2020,1
Marmara,0,3847717,10294,711,12986.380240095783,2019,0
Marmara,1,1916761,12930,3659,26378.415539472855,2016,1
Southeast Anatolia,1,12287644,12601,4278,6635.73077696553,2019,0
Southeast Anatolia,0,1433545,19670,4886,8567.467802116393,2020,1
Mediterranean,1,9432431,13767,3597,11224.512542836332,2017,0
Mediterranean,1,11639457,19542,4189,14612.739866245309,2022,1
Mediterranean,1,13720971,2123,230,18116.922649789492,2014,1
Mediterranean,1,9630596,18119,2753,19125.72226433157,2020,1
Marmara,0,11649498,7726,1260,25268.196084018848,2022,1
Eastern Anatolia,1,13500187,1582,2784,5768.213211560955,2016,1
Aegean,0,14870651,4019,2169,8920.748326590474,2022,1
Eastern Anatolia,1,1097271,5961,1429,5012.382381329087,2021,0
Mediterranean,1,4856042,24003,2966,20181.83079062187,2014,1
Marmara,1,1792457,20920,1766,11984.761360654302,2021,0
Marmara,0,12144643,8834,195,20734.65978518019,2014,1
Black Sea,1,9737936,13165,1309,12331.315805836179,2018,1
Marmara,0,13606293,2368,2402,12066.673010995433,2021,0
Marmara,1,3085842,2833,2169,12424.450932001682,2017,0
Marmara,0,4416334,4681,4192,19976.85101803772,2016,1
Marmara,0,13067237,4450,1565,27290.718035329694,2018,1
Eastern Anatolia,1,13449264,15964,2320,5695.788002409039,2022,1
Aegean,1,3579577,3432,4746,12832.245390926082,2016,1
Marmara,0,3326190,10117,511,24685.826633605764,2016,1
Aegean,0,12803016,14907,3466,11891.721295517873,2022,1
Black Sea,1,1696822,11269,4210,12085.899817319121,2018,1
Black Sea,1,11818726,17202,1863,11406.568553438987,2022,1
Southeast Anatolia,1,8635367,22108,3118,6376.496418785417,2017,0
Eastern Anatolia,0,3475735,8504,419,5039.184581857878,2016,1
Mediterranean,1,13486024,5269,4717,18548.152960659278,2020,1
Marmara,0,9429122,14298,3813,23329.77841328744,2014,1
Central Anatolia,1,10120948,11404,3169,6395.628362802414,2023,0
Marmara,0,4219042,20178,2983,26377.567886697503,2018,1
Mediterranean,0,2338800,13371,3304,16657.828753697475,2014,1
Marmara,1,11998101,24349,284,10681.418668559007,2019,0
Black Sea,0,13626300,16051,467,10659.119846352536,2020,1
Southeast Anatolia,0,4975926,16614,1352,8765.3178071417,2014,1
Black Sea,0,2008440,5818,3260,5816.144226714853,2015,0
Black Sea,1,2503544,11881,2493,11524.569248180911,2022,1
Marmara,0,4624777,1655,1047,22549.11054044241,2016,1
Mediterranean,0,10210367,7900,4072,14711.133492713714,2022,1
Black Sea,1,9257698,13546,3166,9501.5737064216,2016,1
Central Anatolia,0,9046783,21075,1175,7407.284744441352,2018,1
Aegean,1,13439631,23151,3607,9245.418327301324,2021,0
Southeast Anatolia,1,4229186,18648,1963,6077.952953621371,2021,0
Marmara,1,5307901,18149,1689,14074.558911621203,2023,0
Central Anatolia,1,6843564,1866,932,6849.543285519931,2022,1
Mediterranean,0,12263691,23055,2764,10544.767114505667,2015,0
Black Sea,1,13752341,17635,544,11118.577020093398,2016,1
Central Anatolia,1,3281638,18209,3511,4089.5490360059284,2015,0
Aegean,0,7811227,14832,4671,12129.942854450763,2016,1
Eastern Anatolia,1,9165724,18712,1684,5192.059852784099,2016,1
Marmara,0,14502046,8446,1796,20000.90081442827,2022,1
Central Anatolia,0,4871639,23120,1801,5678.385469429975,2022,1
Marmara,0,7247723,18164,4734,21130.165360172985,2014,1
Aegean,1,12858327,5627,2015,12734.38665909833,2020,1
Black Sea,1,3977269,20520,895,11482.220123518888,2018,1
Marmara,1,4173136,15048,2100,13008.388133901715,2023,0
Eastern Anatolia,1,13071787,22063,574,5326.772274493104,2016,1
Black Sea,0,7958351,6474,2340,10120.621889943062,2020,1
Eastern Anatolia,1,13746161,18580,2736,5035.054218874186,2016,1
Black Sea,1,5347604,8268,1036,6932.806229557918,2015,0
Eastern Anatolia,1,11688704,17338,3896,5373.91224935056,2021,0
Eastern Anatolia,1,12004764,6512,4131,5238.9671042931195,2018,1
Marmara,1,6372967,1928,416,12922.802403930913,2021,0
Central Anatolia,1,8577096,3129,2922,8160.632494052135,2022,1
Marmara,1,5252369,15689,4199,15691.010482531452,2021,0
Eastern Anatolia,0,9801972,24279,4934,5493.936249452998,2022,1
Central Anatolia,0,14851494,3354,772,4804.832623441542,2023,0
Aegean,1,1496734,12154,3513,9105.602336205126,2021,0
Eastern Anatolia,1,6779272,8486,4652,4657.197604267556,2015,0
Aegean,0,9242490,12222,4118,14684.200851971254,2014,1
Aegean,1,9566894,13711,1459,13754.705524696335,2014,1
Southeast Anatolia,1,11630638,22847,633,6906.641666326606,2017,0
Southeast Anatolia,1,11887636,17057,931,5931.341563763923,2019,0
Mediterranean,0,9237680,10412,524,13991.538073914504,2014,1
Southeast Anatolia,1,5438678,4742,3957,11240.84605319076,2014,1
Southeast Anatolia,0,14502675,20533,3963,9311.236268374301,2020,1
Central Anatolia,1,12121752,1829,4238,5746.004472309756,2017,0
Marmara,1,5845019,5212,739,26310.871362633,2022,1
Southeast Anatolia,1,13887921,21738,1487,10743.783320273993,2020,1
Marmara,0,9418136,21552,931,23159.071527846783,2016,1
Eastern Anatolia,0,1902933,7398,879,5105.243659394914,2018,1
Aegean,0,5850508,2117,3730,12166.42676495615,2016,1
Marmara,1,4785029,24097,967,24256.852248966756,2022,1
Eastern Anatolia,1,4206951,2178,4672,5763.670413677219,2022,1
Eastern Anatolia,1,3687979,14384,1850,4784.522388867381,2018,1
Southeast Anatolia,1,8230649,4436,1896,5906.72279742405,2015,0
Southeast Anatolia,1,12346572,14716,4844,9980.879987126154,2022,1
Mediterranean,1,1171020,9521,4740,11164.04625812212,2015,0
Southeast Anatolia,0,4601114,15098,4911,6434.675838940604,2019,0
Central Anatolia,0,9652235,22995,897,6355.505498864174,2018,1
Southeast Anatolia,0,5685037,18277,1827,8299.878315140111,2022,1
Central Anatolia,1,12077662,11019,293,5830.966345388593,2021,0
Mediterranean,0,11611781,17608,3437,18154.5485911469,2020,1
Mediterranean,1,11508752,5374,2646,11401.54256988246,2023,0
Central Anatolia,0,9631223,6409,689,5554.922608794999,2018,1
Aegean,0,6427267,14517,4082,12330.660625918648,2020,1
Southeast Anatolia,0,8299937,5080,321,7261.7558675296705,2020,1
Southeast Anatolia,1,4207882,6570,4121,6572.886903861008,2019,0
Central Anatolia,1,10578040,18389,4321,4394.625967350305,2021,0
Central Anatolia,0,4983185,3593,4293,6220.416578331371,2016,1
Marmara,0,10720978,1658,4713,12613.262036649738,2023,0
Marmara,0,4273169,4801,1319,20983.470145313906,2018,1
Mediterranean,1,1622388,18515,1192,19621.76406001493,2022,1
Marmara,0,4420654,1682,2363,22073.19408658413,2022,1
Black Sea,1,3391612,12873,2963,9568.714350720982,2020,1
Aegean,0,14303893,9100,2299,8720.534913717938,2019,0
Aegean,1,5900575,3450,1549,14109.788766719388,2020,1
Southeast Anatolia,0,13131998,11465,3512,6764.293611593759,2019,0
Black Sea,1,7464457,6086,3318,8246.494572748685,2023,0
Eastern Anatolia,0,10920595,5436,2845,4187.9555492909885,2019,0
Mediterranean,0,6312137,21987,2023,14411.275667252834,2018,1
Black Sea,1,8999370,1884,745,11656.619704016392,2020,1
Eastern Anatolia,0,8891927,14376,958,4729.711627969762,2020,1
Black Sea,1,11473411,8490,700,8320.667281315837,2015,0
Central Anatolia,0,11041886,12570,942,7949.589279689811,2016,1
Mediterranean,1,6625588,19640,4974,12327.433167064824,2017,0
Marmara,1,1883363,22157,4908,13576.266151214053,2015,0
Southeast Anatolia,0,9017205,13881,855,9066.005885439848,2022,1
Central Anatolia,1,5065750,8362,4417,5270.253810680042,2015,0
Central Anatolia,0,12153148,23625,4313,4990.068095864632,2022,1
Mediterranean,1,14184944,6213,2791,11051.105333328214,2017,0
Marmara,1,9217302,16705,4006,12521.806745920258,2015,0
Southeast Anatolia,0,13888310,22553,826,9289.713032786001,2014,1
Eastern Anatolia,0,9333680,18880,1518,4552.195262843848,2022,1
Black Sea,1,7295034,11485,4564,7870.212318098,2023,0
Central Anatolia,0,6456999,9902,3798,5623.032633256551,2015,0
Aegean,1,3524452,10008,3285,13406.851098940313,2022,1
Southeast Anatolia,0,3681572,5617,4850,5348.301255588019,2015,0
Black Sea,1,14253417,23457,3327,7060.297388945823,2023,0
Central Anatolia,1,2817444,23746,1500,7643.857474339647,2018,1
Eastern Anatolia,1,5624991,22199,4968,4731.353939864441,2015,0
Eastern Anatolia,1,6395162,2693,2202,4819.752486346521,2020,1
Southeast Anatolia,1,5286017,20527,1284,6581.04180263602,2023,0
Aegean,1,10872624,1625,1418,14394.178563279853,2022,1
Central Anatolia,1,10804774,18765,3487,6446.4220964921715,2019,0
Black Sea,0,7163221,19829,2959,9972.893898281274,2016,1
Eastern Anatolia,1,3714167,10203,1369,5174.901388693608,2022,1
Mediterranean,0,12501797,13532,4653,9630.32571105807,2017,0
Southeast Anatolia,1,13663243,14138,615,6694.466818800291,2023,0
Southeast Anatolia,0,10715749,3872,3791,6833.44325292913,2019,0
Eastern Anatolia,1,11112573,16248,3710,5356.4337054485095,2016,1
Black Sea,1,5257588,20391,1747,11318.997379060309,2022,1
Mediterranean,0,14711492,2870,2318,13725.403401933647,2022,1
Marmara,1,8933289,8262,2999,15304.589526650638,2021,0
Mediterranean,1,13290215,24315,2401,12470.545084066496,2021,0
Black Sea,1,3677687,12299,1106,7471.977975282312,2023,0
Southeast Anatolia,1,7557109,22725,1597,9796.695409347982,2020,1
Southeast Anatolia,1,2882077,10991,2010,11067.566322919345,2016,1
Marmara,1,9617941,4203,2650,17087.774371934305,2019,0
Marmara,0,13023579,7561,369,9978.262165360653,2021,0
Southeast Anatolia,0,3235626,5883,700,5693.436767876746,2017,0
Mediterranean,1,7939153,5054,1576,10566.388858081225,2019,0
Aegean,1,11552202,16640,4147,14574.072076112232,2020,1
Black Sea,1,4651154,7319,3720,7972.864977053669,2017,0
Southeast Anatolia,0,14025536,19468,190,5692.582078124766,2023,0
