name,category,price,old_price,sellable_online,other_colors,short_description,depth,height,width,discounted,width_d,height_d,depth_d,discount_amount,size
YNGVAR,Bar furniture,475.0,475.0,True,No,"        Bar stool,          75 cm",40.0,97.57142857142857,40.0,0,1,0,1,0.0,1600.0
HENRIKSDAL,Bar furniture,40.0,40.0,True,No,        Cover for bar stool with backrest,46.925925925925924,97.57142857142857,52.945945945945944,0,0,0,0,0.0,1.0
NORRÅKER,Bar furniture,395.0,395.0,True,Yes,"        Bar stool with backrest,          74 cm",48.0,100.0,42.0,0,1,1,1,0.0,201600.0
NORDVIKEN,Bar furniture,275.0,275.0,False,No,"        Bar stool with backrest,          75 cm",47.0,101.0,40.0,0,1,1,1,0.0,189880.0
NORRÅKER / NORRARYD,Bar furniture,1385.0,1385.0,True,No,"        Bar table and 2 bar stools,          74 cm",46.925925925925924,104.0,74.0,0,1,1,0,0.0,7696.0
EKEDALEN / EKEDALEN,Bar furniture,2375.0,2375.0,True,No,"        Bar table and 4 bar stools,          120 cm",46.925925925925924,97.57142857142857,52.945945945945944,0,0,0,0,0.0,1.0
EKEDALEN / EKEDALEN,Bar furniture,2176.0,2375.0,True,No,"        Bar table and 4 bar stools,          120 cm",46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,199.0,1.0
BERNHARD,Bar furniture,745.0,745.0,True,No,"        Bar stool with backrest,          66 cm",50.0,90.0,48.0,0,1,1,1,0.0,216000.0
NORRÅKER / NORRÅKER,Bar furniture,1385.0,1385.0,True,No,"        Bar table and 2 bar stools,          74 cm",46.925925925925924,104.0,74.0,0,1,1,0,0.0,7696.0
NORRÅKER / NORRARYD,Bar furniture,1266.0,1385.0,True,No,"        Bar table and 2 bar stools,          74 cm",46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,119.0,1.0
STENSELE,Bar furniture,550.0,550.0,True,No,"        Bar table,          70 cm",46.925925925925924,105.0,52.945945945945944,0,0,1,0,0.0,105.0
GLENN,Bar furniture,445.0,445.0,True,Yes,"        Bar stool,          77 cm",52.0,100.0,50.0,0,1,1,1,0.0,260000.0
NORRÅKER / NORRÅKER,Bar furniture,1266.0,1385.0,True,No,"        Bar table and 2 bar stools,          74 cm",46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,119.0,1.0
RÅSKOG,Bar furniture,175.0,175.0,True,No,"        Bar stool,          63 cm",44.0,63.0,44.0,0,1,1,1,0.0,121968.0
MINNEN,Beds,395.0,445.0,True,No,"        Ext bed frame with slatted bed base,          80x200 cm",81.73493975903614,82.84713375796179,85.0,1,1,0,0,50.0,85.0
BRIMNES,Beds,895.0,925.0,True,No,"        Bed frame w storage and headboard,          90x200 cm",54.0,110.0,96.0,1,1,1,1,30.0,570240.0
SMÅGÖRA,Beds,595.0,595.0,True,No,"        Cot,          60x120 cm",81.73493975903614,79.0,66.0,0,1,1,0,0.0,5214.0
PLATSA,Beds,2111.0,2205.0,True,No,"        Bed frame with 4 drawers,          140x244x163 cm",40.0,43.0,140.0,1,1,1,1,94.0,240800.0
VATTVIKEN,Beds,995.0,995.0,True,No,        Armchair-bed,83.0,86.0,92.0,0,1,1,1,0.0,656696.0
SLÄKT,Beds,540.0,540.0,False,No,"        Ext bed frame with slatted bed base,          80x200 cm",81.73493975903614,82.84713375796179,91.0,0,1,0,0,0.0,91.0
BRIMNES,Beds,795.0,795.0,True,Yes,"        Bed frame w storage and headboard,          140x200 cm",81.73493975903614,111.0,146.0,0,1,1,0,0.0,16206.0
NEIDEN,Beds,99.0,99.0,True,No,"        Bed frame,          90x200 cm",81.73493975903614,82.84713375796179,94.0,0,1,0,0,0.0,94.0
LEIRVIK,Beds,1195.0,1195.0,True,Yes,"        Bed frame,          180x200 cm",81.73493975903614,82.84713375796179,188.0,0,1,0,0,0.0,188.0
NEIDEN,Beds,199.0,199.0,True,No,"        Bed frame,          140x200 cm",81.73493975903614,82.84713375796179,144.0,0,1,0,0,0.0,144.0
HEMNES,Beds,675.0,895.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,82.84713375796179,154.0,1,1,0,0,220.0,154.0
SLATTUM,Beds,595.0,595.0,True,Yes,"        Upholstered bed frame,          140x200 cm",81.73493975903614,82.84713375796179,144.0,0,1,0,0,0.0,144.0
NEIDEN,Beds,199.0,199.0,True,No,"        Bed frame,          90x200 cm",81.73493975903614,82.84713375796179,94.0,0,1,0,0,0.0,94.0
SAGSTUA,Beds,545.0,545.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,140.0,148.0,0,1,1,0,0.0,20720.0
BRIMNES,Beds,575.0,575.0,True,No,"        Bed frame with storage,          90x200 cm",54.0,47.0,96.0,0,1,1,1,0.0,243648.0
ASKVOLL,Beds,445.0,445.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,82.84713375796179,147.0,0,1,0,0,0.0,147.0
TRYSIL,Beds,525.0,525.0,True,Yes,"        Bed frame,          160x200 cm",81.73493975903614,82.84713375796179,165.0,0,1,0,0,0.0,165.0
MALM,Beds,495.0,495.0,True,Yes,"        Bed frame, high,          140x200 cm",81.73493975903614,82.84713375796179,156.0,0,1,0,0,0.0,156.0
RAMSTA,Beds,445.0,445.0,True,No,"        Day-bed frame with slatted bed base,          90x200 cm",81.73493975903614,80.0,97.0,0,1,1,0,0.0,7760.0
SONGESAND,Beds,395.0,395.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,82.84713375796179,153.0,0,1,0,0,0.0,153.0
MALM,Beds,920.0,920.0,True,Yes,"        Bed frame, high, w 2 storage boxes,          180x200 cm",59.0,15.0,196.0,0,1,1,1,0.0,173460.0
SNIGLAR,Beds,195.0,195.0,True,No,"        Bed frame with slatted bed base,          70x160 cm",81.73493975903614,82.84713375796179,77.0,0,1,0,0,0.0,77.0
LAUVIK,Beds,1729.0,2435.0,True,Yes,"        Divan bed,          140x200 cm",81.73493975903614,120.0,140.0,1,1,1,0,706.0,16800.0
BRIMNES,Beds,575.0,575.0,True,Yes,"        Bed frame with storage,          140x200 cm",54.0,20.0,146.0,0,1,1,1,0.0,157680.0
HEMNES,Beds,1495.0,1495.0,True,No,"        Day-bed frame with 3 drawers,          80x200 cm",70.0,18.0,89.0,0,1,1,1,0.0,112140.0
NESTTUN,Beds,595.0,595.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,95.0,146.0,0,1,1,0,0.0,13870.0
TYSSEDAL,Beds,1395.0,1395.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,82.84713375796179,147.0,0,1,0,0,0.0,147.0
MALM,Beds,670.0,670.0,True,Yes,"        Bed frame, high, w 2 storage boxes,          90x200 cm",59.0,15.0,105.0,0,1,1,1,0.0,92925.0
MALM,Beds,445.0,445.0,True,Yes,"        Bed frame, high,          90x200 cm",81.73493975903614,82.84713375796179,105.0,0,1,0,0,0.0,105.0
SLÄKT,Beds,995.0,995.0,True,No,"        Bed frame with underbed and storage,          90x200 cm",57.0,82.84713375796179,96.0,0,1,0,1,0.0,5472.0
RIDABU,Beds,100.0,125.0,True,No,"        Mirror door,          40x120 cm",81.73493975903614,120.0,40.0,1,1,1,0,25.0,4800.0
KRITTER,Beds,360.0,360.0,True,No,"        Bed frame with slatted bed base,          70x160 cm",81.73493975903614,82.84713375796179,75.0,0,1,0,0,0.0,75.0
HEMNES,Beds,1375.0,1595.0,True,Yes,"        Bed frame with 4 storage boxes,          140x200 cm",81.73493975903614,82.84713375796179,154.0,1,1,0,0,220.0,154.0
PLATSA,Beds,2600.5,2880.0,True,No,"        Bed frame with 10 doors,          143x244x223 cm",40.0,43.0,143.0,1,1,1,1,279.5,245960.0
SAGSTUA,Beds,745.0,745.0,True,Yes,"        Bed frame,          90x200 cm",81.73493975903614,120.0,98.0,0,1,1,0,0.0,11760.0
SANDVIKA,Beds,295.0,295.0,True,No,"        Guest bed,          80x190 cm",81.73493975903614,34.0,80.0,0,1,1,0,0.0,2720.0
NEIDEN,Beds,399.0,399.0,True,No,"        Bed frame,          140x200 cm",81.73493975903614,82.84713375796179,144.0,0,1,0,0,0.0,144.0
MINNEN,Beds,395.0,395.0,True,No,"        Ext bed frame with slatted bed base,          80x200 cm",81.73493975903614,82.84713375796179,85.0,0,1,0,0,0.0,85.0
SLÄKT,Beds,375.0,375.0,True,No,"        Bed frame with slatted bed base,          90x200 cm",81.73493975903614,82.84713375796179,96.0,0,1,0,0,0.0,96.0
HAMMARN,Beds,399.0,399.0,True,No,"        Sofa-bed,          120 cm",85.0,78.0,128.0,0,1,1,1,0.0,848640.0
BJÖRKSNÄS,Beds,2040.0,2040.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,42.0,160.0,0,1,1,0,0.0,6720.0
SLÄKT,Beds,425.0,425.0,True,No,"        Pouffe/mattress, foldable",81.73493975903614,82.84713375796179,62.0,0,1,0,0,0.0,62.0
NORDLI,Beds,2290.0,2290.0,True,Yes,"        Bed frame w storage and headboard,          140x200 cm",51.0,16.0,240.0,0,1,1,1,0.0,195840.0
FYRESDAL,Beds,549.0,549.0,True,No,"        Day-bed frame,          80x200 cm",81.73493975903614,94.0,88.0,0,1,1,0,0.0,8272.0
SONGESAND,Beds,570.0,570.0,True,Yes,"        Bed frame with 2 storage boxes,          140x200 cm",64.0,14.0,153.0,0,1,1,1,0.0,137088.0
MALM,Beds,945.0,945.0,True,Yes,"        Bed frame, high, w 4 storage boxes,          140x200 cm",59.0,82.84713375796179,156.0,0,1,0,1,0.0,9204.0
MYDAL,Beds,895.0,895.0,True,No,"        Bunk bed frame,          90x200 cm",81.73493975903614,157.0,97.0,0,1,1,0,0.0,15229.0
TUFFING,Beds,475.0,475.0,True,No,"        Bunk bed frame,          90x200 cm",81.73493975903614,130.0,96.0,0,1,1,0,0.0,12480.0
SÄBÖVIK,Beds,1745.0,1745.0,True,Yes,"        Divan bed,          140x200 cm",81.73493975903614,90.0,140.0,0,1,1,0,0.0,12600.0
LYCKSELE,Beds,100.0,100.0,True,No,        Storage box 2-seat sofa-bed,55.0,21.0,92.0,0,1,1,1,0.0,106260.0
TARVA,Beds,871.0,940.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,82.84713375796179,148.0,1,1,0,0,69.0,148.0
HEMNES,Beds,695.0,695.0,True,Yes,"        Bed frame,          90x200 cm",81.73493975903614,82.84713375796179,104.0,0,1,0,0,0.0,104.0
HEMNES,Beds,995.0,995.0,True,Yes,"        Bed frame,          90x200 cm",81.73493975903614,82.84713375796179,104.0,0,1,0,0,0.0,104.0
BUSUNGE,Beds,795.0,795.0,True,No,"        Extendable bed,          80x200 cm",81.73493975903614,82.84713375796179,90.0,0,1,0,0,0.0,90.0
MARKERAD,Beds,480.0,800.0,True,No,"        Day-bed frame,          80x200 cm",81.73493975903614,20.0,80.0,1,1,1,0,320.0,1600.0
GJÖRA,Beds,1640.0,1640.0,True,Yes,"        Bed frame,          140x200 cm",81.73493975903614,82.84713375796179,154.0,0,1,0,0,0.0,154.0
UTÅKER,Beds,695.0,695.0,True,No,"        Stackable bed,          80x200 cm",81.73493975903614,2.0,83.0,0,1,1,0,0.0,166.0
BRYNE,Beds,49.0,49.0,True,No,        Net,81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
KURA,Beds,745.0,745.0,True,No,"        Reversible bed,          90x200 cm",81.73493975903614,116.0,99.0,0,1,1,0,0.0,11484.0
FRIHETEN,Beds,1846.0,1995.0,True,Yes,        Corner sofa-bed with storage,151.0,66.0,141.9837837837838,1,0,1,1,149.0,9966.0
VITVAL,Beds,295.0,295.0,True,No,"        Underbed,          90x200 cm",81.73493975903614,20.0,90.0,0,1,1,0,0.0,1800.0
LURÖY,Beds,100.0,100.0,True,Yes,"        Slatted bed base,          80x200 cm",81.73493975903614,4.0,80.0,0,1,1,0,0.0,320.0
SNIGLAR,Beds,295.0,295.0,True,No,"        Cot,          60x120 cm",81.73493975903614,80.0,66.0,0,1,1,0,0.0,5280.0
HEMNES,Beds,1145.0,1145.0,True,Yes,"        Bed frame with 2 storage boxes,          90x200 cm",81.73493975903614,82.84713375796179,104.0,0,1,0,0,0.0,104.0
HEMNES,Beds,1495.0,1495.0,True,No,"        Day-bed frame with 3 drawers,          80x200 cm",70.0,18.0,89.0,0,1,1,1,0.0,112140.0
MALM,Beds,545.0,545.0,True,Yes,"        Bed frame, high,          90x200 cm",81.73493975903614,82.84713375796179,105.0,0,1,0,0,0.0,105.0
SLÄKT,Beds,620.0,620.0,True,No,"        Underbed with storage,          90x200 cm",57.0,45.0,95.0,0,1,1,1,0.0,243675.0
DELAKTIG,Beds,2195.0,2195.0,True,No,"        Bed frame with headboard,          160x200 cm",81.73493975903614,99.0,164.0,0,1,1,0,0.0,16236.0
STUVA,Beds,1725.0,1725.0,True,No,"        Loft bed combo w 2 shlvs/3 shlvs,          207x99x182 cm",81.73493975903614,182.0,141.9837837837838,0,0,1,0,0.0,182.0
LAUVIK,Beds,2425.0,3245.0,True,Yes,"        Divan bed,          160x200 cm",81.73493975903614,120.0,160.0,1,1,1,0,820.0,19200.0
VIMLE,Beds,1400.0,1400.0,True,Yes,"        Cover for corner sofa-bed, 4-seat",81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
KONGSFJORD,Beds,8551.0,8735.0,True,Yes,"        Divan bed,          180x200 cm",81.73493975903614,135.0,180.0,1,1,1,0,184.0,24300.0
NYHAMN,Beds,1470.0,1470.0,True,Yes,        Sofa-bed with triple cushion,97.0,90.0,200.0,0,1,1,1,0.0,1746000.0
NYHAMN,Beds,450.0,450.0,True,No,"        Foam mattress,          140x200 cm",81.73493975903614,82.84713375796179,140.0,0,1,0,0,0.0,140.0
SLÄKT,Beds,1395.0,1395.0,True,No,"        Bed frame w storage+slatted bedbase,          90x200 cm",57.0,14.0,96.0,0,1,1,1,0.0,76608.0
ASKEBY,Beds,995.0,995.0,True,No,        Two-seat sofa-bed,72.0,72.0,149.0,0,1,1,1,0.0,772416.0
BRIMNES,Beds,220.0,220.0,True,Yes,"        Headboard with storage compartment,          140 cm",28.0,111.0,146.0,0,1,1,1,0.0,453768.0
SUNDVIK,Beds,849.0,849.0,True,No,"        Ext bed frame with slatted bed base,          80x200 cm",81.73493975903614,80.0,141.9837837837838,0,0,1,0,0.0,80.0
MALM,Beds,1595.0,1595.0,True,Yes,"        Ottoman bed,          160x200 cm",81.73493975903614,82.84713375796179,175.0,0,1,0,0,0.0,175.0
HEMNES,Beds,2185.0,2185.0,True,Yes,"        Day-bed w 3 drawers/2 mattresses,          80x200 cm",70.0,18.0,89.0,0,1,1,1,0.0,112140.0
SOLGUL,Beds,395.0,395.0,True,No,"        Cradle with foam mattress,          66x84 cm",81.73493975903614,53.0,66.0,0,1,1,0,0.0,3498.0
MYDAL,Beds,795.0,795.0,True,No,"        Bunk bed frame,          90x200 cm",81.73493975903614,157.0,141.9837837837838,0,0,1,0,0.0,157.0
NORDLI,Beds,1595.0,1595.0,True,Yes,"        Bed frame with storage,          140x200 cm",51.0,16.0,140.0,0,1,1,1,0.0,114240.0
VIKARE,Beds,95.0,95.0,True,No,        Guard rail,81.73493975903614,7.0,141.9837837837838,0,0,1,0,0.0,7.0
DELAKTIG,Beds,595.0,595.0,True,No,"        Headboard,          160 cm",81.73493975903614,70.0,150.0,0,1,1,0,0.0,10500.0
TUFFING,Beds,645.0,645.0,True,No,"        Loft bed frame,          90x200 cm",81.73493975903614,179.0,97.0,0,1,1,0,0.0,17363.0
VALLENTUNA,Beds,1848.0,2310.0,True,Yes,        Sofa-bed module with backrests,93.0,84.0,113.0,1,1,1,1,462.0,882756.0
VITVAL,Beds,200.0,200.0,True,No,"        Desk top,          95x45 cm",45.0,73.0,95.0,0,1,1,1,0.0,312075.0
PLATSA,Beds,2307.0,2560.0,True,No,"        Bed frame with 10 drawers,          140x244x103 cm",40.0,43.0,140.0,1,1,1,1,253.0,240800.0
PLATSA,Beds,1195.0,1195.0,True,No,"        Bed frame with storage,          140x200 cm",40.0,43.0,140.0,0,1,1,1,0.0,240800.0
PLATSA,Beds,3339.0,3760.0,True,No,"        Bed frame with 6 doors+12 drawers,          140x244x203 cm",40.0,43.0,140.0,1,1,1,1,421.0,240800.0
VITVAL,Beds,1590.0,1590.0,True,No,"        Bunk bed frame with underbed,          90x200 cm",81.73493975903614,162.0,97.0,0,1,1,0,0.0,15714.0
BUSUNGE,Beds,795.0,795.0,True,No,"        Extendable bed,          80x200 cm",81.73493975903614,82.84713375796179,90.0,0,1,0,0,0.0,90.0
NYHAMN,Beds,600.0,600.0,True,No,"        Pocket sprung mattress,          140x200 cm",81.73493975903614,82.84713375796179,140.0,0,1,0,0,0.0,140.0
BRIMNES,Beds,1095.0,1095.0,True,No,"        Day-bed frame with 2 drawers,          80x200 cm",53.0,21.0,86.0,0,1,1,1,0.0,95718.0
SONGESAND,Beds,1245.0,1245.0,True,Yes,"        Bed frame with 4 storage boxes,          140x200 cm",64.0,14.0,153.0,0,1,1,1,0.0,137088.0
LAUVIK,Beds,2146.0,3130.0,True,Yes,"        Divan bed,          140x200 cm",81.73493975903614,120.0,140.0,1,1,1,0,984.0,16800.0
SLÄKT,Beds,1260.0,1260.0,True,No,"        Bed frame with 3 storage boxes,          90x200 cm",53.0,35.0,96.0,0,1,1,1,0.0,178080.0
SVÄRTA,Beds,895.0,895.0,True,No,"        Bunk bed frame,          90x200 cm",81.73493975903614,159.0,97.0,0,1,1,0,0.0,15423.0
VALLENTUNA,Beds,7796.0,9745.0,True,Yes,        4-seat modular sofa w 3 sofa-beds,81.73493975903614,84.0,346.0,1,1,1,0,1949.0,29064.0
LYCKSELE MURBO,Beds,1445.0,1445.0,True,Yes,        Two-seat sofa-bed,100.0,87.0,142.0,0,1,1,1,0.0,1235400.0
DELAKTIG,Beds,2595.0,2595.0,True,No,"        Bed frame/headboard/2 side tables,          160x200 cm",81.73493975903614,99.0,204.0,0,1,1,0,0.0,20196.0
PLATSA,Beds,1767.0,1885.0,True,No,"        Bed frame with 2 drawers,          142x244x103 cm",40.0,43.0,141.0,1,1,1,1,118.0,242520.0
MARKERAD,Beds,267.0,445.0,True,No,"        Cover for day-bed,          80x200 cm",81.73493975903614,82.84713375796179,80.0,1,1,0,0,178.0,80.0
LYCKSELE LÖVÅS,Beds,495.0,495.0,True,No,"        Mattress,          140x188 cm",81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
UTÅKER,Beds,1285.0,1285.0,True,Yes,"        Stackable bed with 2 mattresses,          80x200 cm",81.73493975903614,2.0,83.0,0,1,1,0,0.0,166.0
SUNDVIK,Beds,849.0,849.0,True,No,"        Ext bed frame with slatted bed base,          80x200 cm",81.73493975903614,80.0,141.9837837837838,0,0,1,0,0.0,80.0
PLATSA,Beds,2905.0,3265.0,True,No,"        Bed frame with 4 doors+6 drawers,          140x200x223 cm",40.0,43.0,141.0,1,1,1,1,360.0,242520.0
FYRESDAL,Beds,1139.0,1139.0,True,Yes,"        Day-bed with 2 mattresses,          80x200 cm",81.73493975903614,94.0,88.0,0,1,1,0,0.0,8272.0
VALLENTUNA,Beds,1160.0,1450.0,True,Yes,        Sofa-bed module,100.0,45.0,80.0,1,1,1,1,290.0,360000.0
DELAKTIG,Beds,1400.0,1400.0,True,No,"        Bed frame,          160x200 cm",81.73493975903614,29.0,164.0,0,1,1,0,0.0,4756.0
BRIMNES,Beds,220.0,250.0,True,No,"        Headboard with storage compartment,          90 cm",28.0,110.0,96.0,1,1,1,1,30.0,295680.0
SLÄKT,Beds,520.0,520.0,False,No,"        Ext bed frame with slatted bed base,          80x200 cm",81.73493975903614,82.84713375796179,91.0,0,1,0,0,0.0,91.0
SUFFLETT,Beds,85.0,85.0,True,No,"        Bed tent,          70/80/90",81.73493975903614,80.0,141.9837837837838,0,0,1,0,0.0,80.0
KURA,Beds,175.0,175.0,True,No,        Bed tent with curtain,81.73493975903614,68.0,97.0,0,1,1,0,0.0,6596.0
LÖVA,Beds,55.0,55.0,True,No,        Bed canopy,81.73493975903614,82.84713375796179,90.0,0,1,0,0,0.0,90.0
HEMNES,Beds,2085.0,2085.0,True,Yes,"        Day-bed w 3 drawers/2 mattresses,          80x200 cm",81.73493975903614,83.0,87.0,0,1,1,0,0.0,7221.0
FLEKKE,Beds,1495.0,1495.0,True,No,"        Day-bed frame with 2 drawers,          80x200 cm",81.73493975903614,86.0,88.0,0,1,1,0,0.0,7568.0
MARKERAD,Beds,1092.0,1590.0,True,No,"        Day-bed,          80x200 cm",81.73493975903614,82.84713375796179,80.0,1,1,0,0,498.0,80.0
PLATSA,Beds,2163.5,2360.0,True,No,"        Bed frame with 2 door+3 drawers,          142x244x163 cm",40.0,43.0,141.0,1,1,1,1,196.5,242520.0
KURA,Beds,149.0,149.0,True,No,        Bed tent with curtain,81.73493975903614,68.0,97.0,0,1,1,0,0.0,6596.0
STUVA / FÖLJA,Beds,1915.0,1915.0,True,No,"        Loft bed combo w 2 drawer/2 doors,          207x99x182 cm",81.73493975903614,182.0,141.9837837837838,0,0,1,0,0.0,182.0
DELAKTIG,Beds,2495.0,2495.0,True,No,"        Bed frame/headboard/2 side tables,          160x200 cm",81.73493975903614,99.0,204.0,0,1,1,0,0.0,20196.0
GRÄLVIKEN,Beds,1995.0,1995.0,True,No,        3-seat sofa-bed,86.0,74.0,225.0,0,1,1,1,0.0,1431900.0
HOLMSUND,Beds,2295.0,2295.0,True,Yes,        Three-seat sofa-bed,99.0,96.0,230.0,0,1,1,1,0.0,2185920.0
LAUVIK,Beds,2902.0,4040.0,True,Yes,"        Divan bed,          160x200 cm",81.73493975903614,120.0,160.0,1,1,1,0,1138.0,19200.0
STUVA / FRITIDS,Beds,1990.0,1990.0,True,Yes,"        Loft bed combo w 3 drawers/2 doors,          207x99x182 cm",81.73493975903614,182.0,141.9837837837838,0,0,1,0,0.0,182.0
SVÄRTA,Beds,875.0,875.0,True,No,"        Loft bed frame,          90x200 cm",81.73493975903614,186.0,97.0,0,1,1,0,0.0,18042.0
PLATSA,Beds,1611.0,1715.0,True,No,"        Bed frame with 4 drawers,          142x244x43 cm",40.0,42.0,141.0,1,1,1,1,104.0,236880.0
GRÖNLID,Beds,3595.0,3595.0,True,Yes,        2-seat sofa-bed,98.0,104.0,196.0,0,1,1,1,0.0,1997632.0
VITVAL,Beds,1295.0,1295.0,True,No,"        Bunk bed frame,          90x200 cm",81.73493975903614,162.0,97.0,0,1,1,0,0.0,15714.0
GRÖNLID,Beds,7610.0,7610.0,True,Yes,"        Corner sofa-bed, 5-seat",164.0,104.0,252.0,0,1,1,1,0.0,4298112.0
